opportunity_id,sales_agent,manager,account,product,product_series,industry,sales_region,office_location,deal_stage,is_won,engage_date,close_date,estimated_amount,revenue,employees,account_age_at_engage,is_subsidiary,log_company_revenue,log_employee_count,engage_month,engage_quarter,engage_year
1C1I7A6R,Moses Frase,Dustin Brinkmann,Cancity,GTX Plus Basic,GTX,Retail,Central,United States,Won,1,2016-10-20,2017-03-01,1096,718.62,2448.0,15.0,0,6.578723294908609,7.803435056952168,Oct,Q4,2016
Z063OYW0,Darcel Schlecht,Melvin Marxen,Isdom,GTX Pro,GTX,Medical,Central,United States,Won,1,2016-10-25,2017-03-11,4821,3178.24,4540.0,14.0,0,8.064397453499982,8.420902531097951,Oct,Q4,2016
EC4QE1BX,Darcel Schlecht,Melvin Marxen,Cancity,MG Special,MG,Retail,Central,United States,Won,1,2016-10-25,2017-03-07,55,718.62,2448.0,15.0,0,6.578723294908609,7.803435056952168,Oct,Q4,2016
MV1LWRNH,Moses Frase,Dustin Brinkmann,Codehow,GTX Basic,GTX,Software,Central,United States,Won,1,2016-10-25,2017-03-09,550,2714.9,2641.0,18.0,1,7.9068786691495045,7.879291485082271,Oct,Q4,2016
PE84CX4O,Zane Levy,Summer Sewald,Hatfan,GTX Basic,GTX,Services,West,United States,Won,1,2016-10-25,2017-03-02,550,792.46,1299.0,34.0,0,6.676403129118039,7.170119543449628,Oct,Q4,2016
ZNBS69V1,Anna Snelling,Dustin Brinkmann,Ron-tech,MG Special,MG,Medical,Central,United States,Won,1,2016-10-29,2017-03-01,55,3922.42,6837.0,24.0,0,8.274719001401705,8.830250570199247,Oct,Q4,2016
9ME3374G,Vicki Laflamme,Celia Rouche,J-Texon,MG Special,MG,Retail,West,United States,Won,1,2016-10-30,2017-03-02,55,1388.67,3583.0,27.0,0,7.2368215878665625,8.18423477409482,Oct,Q4,2016
7GN8Q4LL,Markita Hansen,Celia Rouche,Cheers,GTX Basic,GTX,Entertainment,West,United States,Won,1,2016-11-01,2017-03-07,550,4269.9,6472.0,23.0,1,8.35957985684692,8.77539495854551,Nov,Q4,2016
OLK9LKZB,Niesha Huffines,Melvin Marxen,Zumgoity,GTX Plus Basic,GTX,Medical,Central,United States,Won,1,2016-11-01,2017-03-03,1096,441.08,1210.0,32.0,0,6.091490861175107,7.099201743553092,Nov,Q4,2016
NL3JZH1Z,Anna Snelling,Dustin Brinkmann,Bioholding,MG Special,MG,Medical,Central,Philipines,Won,1,2016-11-04,2017-03-10,55,587.34,1356.0,4.0,0,6.377305012079846,7.213031659834869,Nov,Q4,2016
